Date,Price,Open,High,Low,Vol.,Change %,Pred,new
"May 04, 2017",28060,28400,28482,28025,0.08K,-1.79%,738,117.5707404
"May 05, 2017",28184,28136,28382,28135,0.06K,0.44%,-146,295.4301759
"May 08, 2017",28119,28145,28255,28097,7.85K,-0.23%,30,132.1237143
"May 09, 2017",27981,28125,28192,27947,10.10K,-0.49%,357,101.2980642
"May 10, 2017",28007,28060,28146,27981,9.28K,0.09%,124,112.1533183
"May 11, 2017",28022,27995,28100,27945,9.72K,0.05%,149,182.4270889
"May 12, 2017",28019,28088,28195,27985,9.48K,-0.01%,167,141.2551367
"May 15, 2017",28008,28049,28157,27996,8.76K,-0.04%,22,120.0690099
"May 16, 2017",28109,28025,28159,28025,7.73K,0.36%,34,218.4016414
"May 17, 2017",28614,28170,28638,28170,15.92K,1.80%,420,919.3763578
"May 18, 2017",28710,28666,28980,28551,23.80K,0.34%,234,475.3890932
"May 19, 2017",28634,28660,28779,28531,13.16K,-0.26%,345,222.8953069
"May 22, 2017",28783,28590,28799,28568,9.31K,0.52%,265,425.7384836
"May 23, 2017",28808,28804,28930,28740,12.50K,0.09%,138,194.4495477
"May 24, 2017",28719,28770,28770,28650,8.69K,-0.31%,378,69.28900524
"May 25, 2017",28638,28769,28770,28600,9.93K,-0.28%,413,39.22587413
"May 26, 2017",28847,28694,28866,28674,9.52K,0.73%,214,346.1584013
"May 29, 2017",28874,28843,28928,28807,4.56K,0.09%,121,152.2814247
"May 30, 2017",28704,28921,28960,28680,9.88K,-0.59%,491,63.23430962
"May 31, 2017",28905,28683,28950,28628,7.83K,0.70%,397,547.1156211
"Jun 01, 2017",28749,28877,28877,28712,1.77K,-0.54%,404,37.21262887
"Jun 02, 2017",28949,28685,29011,28680,0.31K,0.70%,222,598.1045676
"Jun 05, 2017",29111,29045,29180,29045,0.71K,0.56%,-3,201.3067654
"Jun 06, 2017",29481,29220,29499,29216,11.14K,1.27%,259,546.5669154
"Jun 07, 2017",29376,29439,29485,29310,9.82K,-0.36%,344,112.3940635
"Jun 08, 2017",29049,29319,29345,28951,12.95K,-1.11%,906,125.3337018
"Jun 09, 2017",28938,29001,29009,28836,8.98K,-0.38%,526,110.6119434
"Jun 12, 2017",28917,28905,28971,28851,7.77K,-0.07%,174,132.2745139
"Jun 13, 2017",28862,28907,28916,28711,7.71K,-0.19%,685,161.0781582
"Jun 14, 2017",28946,28890,29025,28802,9.37K,0.29%,329,280.1149226
"Jun 15, 2017",28686,28890,28890,28640,11.43K,-0.90%,592,46.40153631
"Jun 16, 2017",28616,28697,28718,28600,6.78K,-0.24%,205,37.06601399
"Jun 19, 2017",28473,28593,28593,28460,7.55K,-0.50%,292,13.06075193
"Jun 20, 2017",28475,28470,28530,28420,7.69K,0.01%,150,115.2128783
"Jun 21, 2017",28495,28539,28575,28403,9.08K,0.07%,420,128.5571242
"Jun 22, 2017",28557,28530,28670,28519,7.48K,0.22%,-42,178.2011992
"Jun 23, 2017",28648,28596,28782,28596,7.10K,0.32%,-82,238.3382291
"Jun 26, 2017",28426,28302,28440,28264,4.61K,-0.77%,262,301.0087744
"Jun 27, 2017",28483,28411,28572,28401,7.63K,0.20%,23,243.493715
"Jun 28, 2017",28485,28569,28660,28461,7.73K,0.01%,173,115.1678086
"Jun 29, 2017",28527,28522,28550,28380,7.94K,0.15%,550,175.8805497
"Jun 30, 2017",28295,28505,28505,28168,8.40K,-0.81%,928,128.5194192
"Jul 03, 2017",27952,28300,28300,27925,3.24K,-1.21%,804,27.36257833
"Jul 04, 2017",28043,27956,28169,27956,1.26K,0.33%,-39,300.6628631
"Jul 05, 2017",28051,28120,28155,27845,0.90K,0.03%,927,243.2934099
"Jul 06, 2017",28143,28200,28237,28111,10.57K,0.33%,205,69.1434314
"Jul 07, 2017",27812,28101,28140,27754,16.37K,-1.18%,771,97.8066585
"Jul 10, 2017",27840,27835,27887,27620,13.13K,0.10%,818,274.1267198
"Jul 11, 2017",27871,27805,27929,27702,11.02K,0.11%,420,294.3848459
"Jul 12, 2017",27889,27919,28033,27840,10.47K,0.06%,142,163.3396911
"Jul 13, 2017",27868,27945,27968,27851,7.67K,-0.08%,199,40.07141575
"Jul 14, 2017",28022,27850,28150,27753,14.38K,0.55%,432,572.8479804
"Jul 17, 2017",28147,28050,28173,28050,7.52K,0.45%,71,220.4253476
"Jul 18, 2017",28280,28160,28299,28160,9.35K,0.47%,101,259.5923295
"Jul 19, 2017",28270,28270,28285,28150,8.47K,-0.04%,465,135.5754885
"Jul 20, 2017",28345,28220,28380,28155,11.27K,0.27%,350,351.5183804
"Jul 21, 2017",28541,28333,28559,28300,9.54K,0.69%,322,469.2056184
"Jul 24, 2017",28530,28531,28612,28480,7.97K,-0.04%,121,131.2317416
"Jul 25, 2017",28490,28535,28584,28410,11.13K,-0.14%,361,129.4899683
"Jul 26, 2017",28396,28462,28462,28320,8.09K,-0.33%,436,76.38107345
"Jul 27, 2017",28477,28455,28613,28376,10.46K,0.29%,202,259.843565
"Jul 28, 2017",28596,28533,28620,28405,8.24K,0.42%,551,279.4456962
"Jul 31, 2017",28588,28572,28628,28510,6.20K,-0.03%,224,134.3228341
"Aug 01, 2017",28514,28623,28623,28447,2.23K,-0.26%,486,67.41452526
"Aug 02, 2017",28486,28451,28586,28373,0.58K,-0.10%,247,248.8483065
"Aug 03, 2017",28447,28400,28500,28299,0.48K,-0.14%,398,249.0512032
"Aug 04, 2017",28373,28525,28585,28355,0.07K,-0.26%,316,78.146006
"Aug 07, 2017",28419,28332,28437,28320,3.95K,0.16%,117,204.4090042
"Aug 08, 2017",28357,28416,28497,28283,7.40K,-0.22%,333,155.5599123
"Aug 09, 2017",28800,28415,28821,28415,11.58K,1.56%,364,796.5009678
"Aug 10, 2017",29130,28845,29173,28845,12.40K,1.15%,242,616.2407696
"Aug 11, 2017",29158,29147,29300,29032,11.32K,0.10%,329,280.1631303
"Aug 14, 2017",29042,29100,29116,28982,7.74K,-0.40%,340,76.27741357
"Aug 16, 2017",28878,28978,28978,28727,10.49K,-0.56%,804,152.3193511
"Aug 17, 2017",29093,28900,29174,28800,9.73K,0.74%,512,570.8049306
"Aug 18, 2017",29109,29070,29380,29013,12.43K,0.05%,-4,407.2143522
"Aug 21, 2017",29224,29050,29248,29030,7.42K,0.40%,230,393.4568378
"Aug 22, 2017",29061,29200,29200,28980,8.75K,-0.56%,602,81.61490683
"Aug 23, 2017",29090,29063,29148,29023,7.27K,0.10%,129,152.2885642
"Aug 24, 2017",29021,29051,29107,28980,7.17K,-0.24%,168,97.17967564
"Aug 25, 2017",29086,29001,29134,28716,7.04K,0.22%,1177,508.3858476
"Aug 28, 2017",29425,29101,29440,29095,9.56K,1.17%,333,672.9130435
"Aug 29, 2017",29588,29469,29810,29425,11.07K,0.55%,73,506.1327103
"Aug 30, 2017",29540,29640,29640,29405,8.46K,-0.16%,740,136.0788981
"Aug 31, 2017",29756,29430,29832,29421,6.94K,0.73%,286,741.6798205
"Sep 01, 2017",29788,29687,29941,29671,1.15K,0.11%,12,372.0646759
"Sep 04, 2017",30174,30187,30250,29800,0.27K,1.30%,1459,442.647651
"Sep 05, 2017",30226,30389,30421,30010,0.19K,0.17%,1158,250.9582139
"Sep 06, 2017",30088,30200,30298,30055,12.40K,-0.46%,258,131.2668108
"Sep 07, 2017",30287,30050,30348,30010,14.46K,0.66%,336,578.1198267
"Sep 08, 2017",30271,30350,30470,30221,13.38K,-0.05%,238,170.4119652
"Sep 11, 2017",29942,30187,30187,29888,12.58K,-1.09%,706,54.54021681
"Sep 12, 2017",29953,29910,29977,29830,9.39K,0.04%,339,190.6061348
"Sep 13, 2017",29896,30011,30077,29841,10.61K,-0.19%,384,121.434972
"Sep 14, 2017",30020,29831,30059,29775,12.39K,0.41%,374,475.3368598
"Sep 15, 2017",29869,30063,30096,29840,11.58K,-0.50%,471,62.24879357
"Sep 18, 2017",29561,29845,29845,29550,10.85K,-1.03%,612,11.10981387
"Sep 19, 2017",29628,29521,29690,29521,8.11K,0.23%,45,276.612547
"Sep 20, 2017",29780,29660,29817,29660,8.42K,0.51%,83,277.6351989
"Sep 21, 2017",29584,29620,29680,29450,13.18K,-0.66%,548,195.0465195
"Sep 22, 2017",29608,29660,29767,29586,8.54K,0.08%,85,129.1345907
"Sep 25, 2017",30065,29580,30150,29525,13.45K,1.54%,620,1121.430991
"Sep 26, 2017",29885,30129,30195,29802,11.90K,-0.60%,754,150.0945239
"Sep 27, 2017",29673,29861,29944,29644,10.37K,-0.71%,409,112.2934827
"Sep 28, 2017",29624,29650,29706,29530,7.99K,-0.17%,372,150.5602438
"Sep 29, 2017",29549,29615,29740,29430,7.49K,-0.25%,483,245.2534828
"Oct 03, 2017",29400,29420,29456,29352,1.53K,-0.50%,196,84.17007359
"Oct 04, 2017",29331,29479,29513,29258,0.23K,-0.23%,554,107.6362362
"Oct 05, 2017",29412,29469,29469,29361,0.06K,0.28%,318,51.18759579
"Oct 06, 2017",29510,29325,29540,29274,11.30K,0.33%,359,453.1444285
"Oct 09, 2017",29670,29540,29718,29540,6.17K,0.54%,82,308.7833446
"Oct 10, 2017",29768,29700,29798,29700,6.98K,0.33%,38,166.2243771
"Oct 11, 2017",29659,29717,29770,29638,5.43K,-0.37%,147,74.09352858
"Oct 12, 2017",29756,29725,29840,29692,6.88K,0.33%,79,179.3190085
"Oct 13, 2017",29800,29750,29817,29660,7.31K,0.15%,393,207.7410654
"Oct 16, 2017",29808,29809,29896,29790,5.77K,0.03%,-13,105.0640483
"Oct 17, 2017",29565,29751,29751,29550,8.27K,-0.82%,432,15.10203046
"Oct 18, 2017",29536,29640,29643,29504,5.08K,-0.10%,333,35.15075922
"Oct 19, 2017",29654,29600,29669,29593,1.70K,0.40%,67,130.1566587
"Oct 20, 2017",29541,29600,29622,29524,3.22K,-0.38%,164,39.05642867
"Oct 23, 2017",29499,29502,29550,29364,7.21K,-0.14%,498,183.8551287
"Oct 24, 2017",29498,29515,29537,29444,5.50K,0.00%,228,76.17056107
"Oct 25, 2017",29362,29475,29475,29275,8.11K,-0.46%,574,87.59436379
"Oct 26, 2017",29236,29375,29443,29211,8.37K,-0.43%,310,93.19855534
"Oct 27, 2017",29272,29223,29299,29169,6.53K,0.12%,238,179.459049
"Oct 30, 2017",29349,29263,29369,29204,4.82K,0.26%,302,251.8192371
"Oct 31, 2017",29040,29300,29337,28958,5.80K,-1.05%,811,120.0732095
"Nov 01, 2017",29120,29048,29260,28991,2.16K,0.28%,160,342.1969577
"Nov 02, 2017",29242,29301,29318,29168,0.34K,0.42%,397,91.38055403
"Nov 03, 2017",29191,29230,29456,29002,0.05K,-0.17%,608,417.9586235
"Nov 06, 2017",29363,29130,29388,29130,7.66K,0.59%,208,493.0636457
"Nov 07, 2017",29457,29349,29490,29333,8.21K,0.32%,139,265.6636894
"Nov 08, 2017",29562,29451,29600,29438,7.90K,0.36%,125,273.6823833
"Nov 09, 2017",29670,29530,29689,29466,9.36K,0.37%,377,364.5438811
"Nov 10, 2017",29508,29640,29700,29468,9.68K,-0.55%,364,100.3149179
"Nov 13, 2017",29619,29504,29636,29473,6.19K,0.38%,222,278.8074509
"Nov 14, 2017",29620,29550,29660,29411,10.22K,0.00%,586,320.76944
"Nov 15, 2017",29528,29600,29740,29512,9.84K,-0.31%,68,156.1236107
"Nov 16, 2017",29491,29544,29555,29452,7.79K,-0.13%,251,50.13639142
"Nov 17, 2017",29658,29462,29689,29361,9.90K,0.57%,569,527.3178706
"Nov 20, 2017",29339,29700,29729,29268,10.65K,-1.08%,977,101.1183203
"Nov 21, 2017",29334,29410,29425,29277,7.66K,-0.02%,365,72.28814428
"Nov 22, 2017",29504,29341,29525,29280,7.80K,0.58%,386,409.8743169
"Nov 23, 2017",29420,29475,29510,29393,5.78K,-0.28%,183,62.10747457
"Nov 24, 2017",29375,29475,29500,29357,5.80K,-0.15%,247,43.08767926
"Nov 27, 2017",29460,29450,29510,29402,6.55K,0.29%,152,118.2130467
"Nov 28, 2017",29381,29450,29456,29359,5.80K,-0.27%,220,28.0726864
"Nov 29, 2017",29215,29430,29441,29188,5.89K,-0.56%,527,38.23403453
"Nov 30, 2017",28992,29287,29287,28927,6.54K,-0.76%,850,65.80893283
"Dec 01, 2017",29217,29045,29344,29038,2.16K,0.78%,73,479.8862869
"Dec 04, 2017",29059,29021,29200,28970,0.09K,-0.54%,101,268.706593
"Dec 05, 2017",28893,29095,29170,28865,0.05K,-0.57%,441,103.29586
"Dec 06, 2017",28972,28950,29039,28922,6.38K,0.27%,67,139.2022682
"Dec 07, 2017",28670,28932,28932,28653,7.38K,-1.04%,592,17.1655324
"Dec 08, 2017",28588,28650,28650,28500,8.42K,-0.29%,476,88.46315789
"Dec 11, 2017",28429,28550,28573,28412,5.92K,-0.56%,287,40.09633254
"Dec 12, 2017",28318,28432,28475,28271,7.58K,-0.39%,373,90.33914612
"Dec 13, 2017",28377,28350,28445,28320,4.66K,0.21%,79,152.251589
"Dec 14, 2017",28500,28434,28589,28421,6.63K,0.43%,29,234.4669786
"Dec 15, 2017",28441,28474,28559,28395,5.54K,-0.21%,165,131.2656806
"Dec 18, 2017",28663,28492,28683,28470,6.17K,0.78%,239,385.443941
"Dec 19, 2017",28555,28656,28680,28535,5.95K,-0.38%,258,44.10162958
"Dec 20, 2017",28617,28618,28658,28557,6.07K,0.22%,202,100.2122072
"Dec 21, 2017",28596,28645,28665,28542,5.63K,-0.07%,294,74.23270969
"Dec 22, 2017",28757,28560,28790,28560,6.08K,0.56%,164,428.5864846
"Dec 26, 2017",28924,28796,28933,28778,4.33K,0.58%,191,283.7863646
"Dec 27, 2017",29092,28890,29110,28888,5.16K,0.58%,192,425.5677098
"Dec 28, 2017",29171,29150,29220,29099,5.06K,0.27%,176,142.2993917
"Dec 29, 2017",29372,29202,29400,29134,6.93K,0.69%,414,438.1729938
"Jan 01, 2018",29324,29332,29385,29275,1.58K,-0.16%,159,102.1841161
"Jan 02, 2018",29392,29332,29463,29332,1.70K,0.23%,-11,191.2679667
"Jan 03, 2018",29481,29385,29492,29385,0.19K,0.30%,85,203.3495661
"Jan 04, 2018",29472,29365,29475,29276,0.20K,-0.03%,460,307.3322858
"Jan 05, 2018",29465,29500,29550,29440,0.19K,-0.02%,120,75.09341033
"Jan 08, 2018",29270,29235,29290,29176,5.90K,-0.66%,251,149.3672882
"Jan 09, 2018",29173,29265,29278,29153,5.42K,-0.33%,251,33.08575447
"Jan 10, 2018",29343,29155,29444,29123,10.83K,0.58%,215,511.4248875
"Jan 11, 2018",29404,29338,29420,29315,5.81K,0.21%,142,171.3187788
"Jan 12, 2018",29553,29425,29590,29425,9.23K,0.51%,91,293.717757
"Jan 15, 2018",29763,29590,29785,29590,6.00K,0.71%,151,369.1400811
"Jan 16, 2018",29830,29780,29860,29754,8.69K,0.23%,124,156.2707535
"Jan 17, 2018",29761,29876,29884,29705,6.83K,-0.23%,446,64.33745161
"Jan 18, 2018",29644,29702,29702,29501,9.53K,-0.39%,688,143.974306
"Jan 19, 2018",29743,29615,29775,29600,5.95K,0.33%,156,303.8454392
"Jan 22, 2018",29806,29701,29825,29701,5.52K,0.21%,86,229.4383691
"Jan 23, 2018",29876,29836,29924,29752,7.02K,0.23%,328,212.7168594
"Jan 24, 2018",30244,29907,30290,29879,11.08K,1.23%,403,753.0207504
"Jan 25, 2018",30367,30310,30476,30185,9.88K,0.41%,448,349.7545801
"Jan 29, 2018",30074,30285,30285,30004,8.63K,-0.96%,702,70.65557926
"Jan 30, 2018",30052,30000,30197,29960,6.81K,-0.07%,67,289.7277704
"Jan 31, 2018",30064,30085,30172,29976,5.48K,0.04%,307,175.5753936
"Feb 01, 2018",30512,30125,30550,30050,1.81K,1.49%,649,894.687188
"Feb 02, 2018",30399,30780,30817,30200,0.66K,-0.37%,1521,240.0656623
"Feb 05, 2018",30286,30385,30498,30008,0.19K,-0.37%,1197,395.5394561
"Feb 06, 2018",30182,30320,30650,30160,12.07K,-0.34%,34,352.3574271
"Feb 07, 2018",29976,30219,30259,29950,8.73K,-0.68%,550,66.26824708
"Feb 08, 2018",30103,29905,30147,29783,11.10K,0.42%,642,565.9109559
"Feb 09, 2018",29999,30060,30110,29889,9.20K,-0.35%,512,160.8133427
"Feb 12, 2018",30133,30102,30175,30017,6.40K,0.45%,329,189.6105873
"Feb 13, 2018",30195,30170,30221,30091,3.53K,0.21%,315,155.4493038
"Feb 14, 2018",30605,30220,30693,30066,12.87K,1.36%,913,1023.240371
"Feb 15, 2018",30549,30612,30644,30501,7.63K,-0.18%,286,80.2250418
"Feb 16, 2018",30785,30600,30811,30600,8.67K,0.77%,159,397.2756536
"Feb 19, 2018",30715,30717,30777,30678,4.03K,-0.23%,92,97.11940153
"Feb 20, 2018",30524,30668,30737,30505,9.25K,-0.62%,295,88.1445009
"Feb 21, 2018",30459,30500,30516,30371,7.08K,-0.21%,418,104.4201376
"Feb 22, 2018",30564,30450,30580,30380,6.53K,0.34%,378,315.2113232
"Feb 23, 2018",30492,30497,30508,30426,5.14K,-0.24%,263,77.17787419
"Feb 26, 2018",30518,30520,30620,30492,5.84K,0.09%,8,126.1091434
"Feb 27, 2018",30306,30518,30597,30270,7.86K,-0.69%,489,115.3888999
"Feb 28, 2018",30423,30319,30475,30277,5.12K,0.39%,220,302.9547842
"Mar 01, 2018",30181,30307,30372,30111,1.47K,-0.80%,467,135.606755
"Mar 02, 2018",30473,30445,30575,30400,0.15K,0.97%,106,203.4202303
"Mar 05, 2018",30429,30400,30535,30310,0.18K,-0.14%,283,254.8833718
"Mar 06, 2018",30568,30400,30669,30365,10.81K,0.46%,207,474.0323399
"Mar 07, 2018",30461,30620,30639,30404,10.10K,-0.35%,527,76.44056703
"Mar 08, 2018",30436,30491,30533,30390,7.75K,-0.08%,252,88.21645278
"Mar 09, 2018",30408,30413,30474,30290,10.96K,-0.09%,421,179.7168042
"Mar 12, 2018",30340,30380,30432,30284,7.37K,-0.22%,252,108.2736759
"Mar 13, 2018",30387,30350,30409,30222,10.98K,0.15%,527,225.020945
"Mar 14, 2018",30413,30399,30545,30364,9.56K,0.09%,22,195.2920893
"Mar 15, 2018",30314,30456,30474,30288,8.33K,-0.33%,370,44.15966719
"Mar 16, 2018",30251,30275,30364,30184,10.02K,-0.21%,227,156.3995494
"Mar 19, 2018",30432,30222,30453,30129,11.62K,0.60%,561,537.2583889
"Mar 20, 2018",30284,30393,30393,30220,9.13K,-0.49%,474,64.36637988
"Mar 21, 2018",30464,30310,30539,30284,11.32K,0.59%,183,410.5156518
"Mar 22, 2018",30506,30522,30615,30472,11.33K,0.14%,75,127.1595563
"Mar 23, 2018",30901,30550,30947,30550,13.64K,1.29%,305,752.5612766
"Mar 26, 2018",30889,30840,30915,30771,7.33K,-0.04%,299,193.5522082
"Mar 27, 2018",30717,30871,30888,30685,9.46K,-0.56%,419,49.21169953
"Mar 28, 2018",30518,30732,30750,30490,8.56K,-0.65%,522,46.23876681
"Mar 29, 2018",30426,30482,30578,30403,3.20K,-0.30%,108,119.1323883
"Apr 02, 2018",30961,30580,31080,30510,1.38K,1.76%,542,959.425762
"Apr 03, 2018",30625,30893,30893,30552,0.33K,-1.09%,828,73.81477481
"Apr 04, 2018",30886,30660,30972,30600,0.07K,0.85%,380,601.4768627
"Apr 05, 2018",30505,31500,31500,30450,0.06K,-1.23%,2210,56.89655172
"Apr 06, 2018",30605,30571,30650,30413,13.42K,0.33%,621,272.4962023
"Apr 09, 2018",30675,30600,30693,30556,7.60K,0.23%,233,212.533545
"Apr 10, 2018",30798,30613,30819,30585,8.76K,0.40%,276,420.6296224
"Apr 11, 2018",31244,30820,31422,30820,18.12K,1.45%,246,1034.281895
"Apr 12, 2018",30897,31176,31217,30857,13.21K,-1.11%,677,81.46666883
"Apr 13, 2018",31005,30922,31075,30770,9.89K,0.35%,621,390.3293793
"Apr 16, 2018",31167,31055,31227,31050,8.09K,0.52%,72,289.6669565
"Apr 17, 2018",31257,31139,31280,31089,9.19K,0.29%,295,310.0321336
"Apr 18, 2018",31410,31243,31483,31177,9.90K,0.49%,358,475.2868781
"Apr 19, 2018",31479,31449,31517,31305,8.78K,0.22%,568,243.1783421
"Apr 20, 2018",31314,31405,31440,31285,6.02K,-0.52%,263,64.14367908
"Apr 23, 2018",31164,31300,31300,31110,6.67K,-0.48%,488,54.32979749
"Apr 24, 2018",31262,31160,31280,31068,6.35K,0.31%,452,315.3238058
"Apr 25, 2018",31301,31298,31324,31215,6.17K,0.12%,312,112.3003043
"Apr 26, 2018",31158,31251,31276,31112,6.27K,-0.46%,345,71.24247879
"Apr 27, 2018",31129,31101,31189,31047,6.10K,-0.09%,184,170.3750443
"Apr 30, 2018",30947,31090,31090,30892,6.38K,-0.58%,506,55.35251845
